word,hook_kind,hook_text
Abase,sound_spelling,Being brought to your base (low point) can be humiliating.
Abate,sound_spelling,If you don't use bait you reduce your odds in fishing.
Abdicate,morphology,"""ab-"" (away) + ""dic-"" (speak) + ""-ate"" (verb) = to formally speak away your power."
Abduct,morphology,"""ab-"" (away) + ""duct"" (lead) = to lead away."
Aberration,morphology,"""ab-"" (away) + ""err"" (wander) = wandering away from what is normal."
Abet,sound_spelling,A bet placed on someone encourages them to succeed.
Abhor,sound_spelling,A horror - you hate it and shrink away from it.
Abide,sound_spelling,"You bide your time, enduring or putting up with the situation."
Abject,morphology,"""ab-"" (away) + ""ject"" (throw) = thrown away into a wretched state."
Abjure,morphology,"""ab-"" (away) + ""jur"" (swear) = to swear away or legally renounce."
Abnegation,morphology,"""ab-"" (away) + ""neg"" (deny) = the act of denying yourself something."
Abort,,
Abridge,sound_spelling,"A bridge connects two points, making the journey shorter."
Abrogate,sound_spelling,A broken gate means the security rules have been abolished or repealed.
Abscond,sound_spelling,Abscond with the scones - running away secretly with the stolen goods.
Absolution,sound_spelling,The absolute solution to guilt is being forgiven completely.
Abstain,sound_spelling,You abstain from wine so it doesn't stain your shirt.
Abstruse,sound_spelling,Sounds like obstructs - the complex meaning obstructs your understanding.
Accede,morphology,"""ac-"" (toward) + ""cede"" (yield) = to yield toward an agreement."
Accentuate,,
Accessible,,
Acclaim,morphology,"""ac-"" (toward) + ""claim"" (shout) = shouting praise toward someone."
Accolade,etymology_story,"From Latin ""ad"" (to) + ""collum"" (neck). Originally a ceremonial embrace around the neck when conferring knighthood."
Accommodating,,
Accord,morphology,"""ac-"" (toward) + ""cord"" (heart) = hearts moving toward agreement."
Accost,etymology_story,"From Latin ""ad costam"" (to the rib/side). To aggressively come right up to someone's side and confront them."
Accretion,sound_spelling,A creation built up gradually layer by layer.
Acerbic,sound_spelling,An acerbic comment is acidic and bites.
Acquiesce,sound_spelling,Acquire quiet - you stay quiet and just agree to it.
Acrimony,sound_spelling,A crime on me - leaves you with bitterness and ill will.
Acumen,sound_spelling,IQ men - men with high IQs have great mental sharpness.
Acute,sound_spelling,A cute angle is sharp and precise.
Adamant,etymology_story,"From Greek adamas, meaning ""uncuttable"" (the same root as diamond). Unyielding and unbreakable."
Adept,sound_spelling,A depth of knowledge makes you highly skilled.
Adhere,morphology,"""ad-"" (to) + ""haerere"" (stick) = to stick to."
Admonish,morphology,"""ad-"" (to) + ""monere"" (warn) = to give a warning to."
Adorn,,
Adroit,etymology_story,"From French à droit meaning ""to the right."" The right hand was historically considered the skilled and dexterous one."
Adulation,sound_spelling,Adult infatuation - excessive flattery and worship.
Adumbrate,morphology,"""ad-"" (toward) + ""umbr"" (shadow) = to cast a shadow over, or outline vaguely."
Adverse,morphology,"""ad-"" (against) + ""vers"" (turn) = turned against you; hostile."
Advocate,morphology,"""ad-"" (toward) + ""voc"" (voice) = to add your voice toward a cause."
Aerial,,
Aesthetic,,
Affable,sound_spelling,A fable - the grandpa telling a fable is friendly and easy to talk to.
Affinity,sound_spelling,"Infinity - an infinite, natural connection or liking for something."
Affluent,morphology,"""af-"" (toward) + ""flu"" (flow) = wealth flowing toward you."
Affront,sound_spelling,In front - an insult right in front of your face.
Aggrandize,sound_spelling,To make something grander.
Aggregate,morphology,"""ag-"" (toward) + ""greg"" (flock) = to bring the flock together into a whole."
Aggrieved,sound_spelling,You feel aggrieved when someone causes you grief.
Agile,,
Agnostic,morphology,"""a-"" (without) + ""gnos"" (knowledge) = claiming to be without knowledge (usually of God)."
Agriculture,,
Aisle,,
Alacrity,sound_spelling,Sounds like electricity - moving with electric speed and readiness.
Alias,,
Allay,sound_spelling,To lay a baby down soothes and calms it.
Allege,,
Alleviate,morphology,"""ad-"" (to) + ""lev"" (light) = to make something lighter or less severe."
Allocate,,
Aloof,sound_spelling,"A roof - sitting alone on a roof, emotionally detached from everyone below."
Altercation,sound_spelling,"When things alter (change) for the worse, a noisy argument starts."
Amalgamate,sound_spelling,A mall - a mall brings many different stores together into one place.
Ambiguous,morphology,"""ambi-"" (both) + ""agere"" (drive) = driven in two directions, unclear."
Ambivalent,morphology,"""ambi-"" (both) + ""val"" (strength/feeling) = having strong feelings in both directions."
Ameliorate,sound_spelling,A million rate - taking a bad rating and improving it to a million.
Amenable,sound_spelling,"Amen-able - someone who frequently says ""amen"" (yes) and is easily persuaded."
Amenity,,
Amiable,morphology,"""am-"" (love/friend) = friendly and pleasant (used for people)."
Amicable,morphology,"""am-"" (love/friend) = friendly and peaceful (used for agreements/situations)."
Amorous,morphology,"""am-"" (love) + ""-ous"" (full of) = full of romantic love."
Amorphous,morphology,"""a-"" (without) + ""morph"" (shape) = without definite shape."
Anachronistic,morphology,"""ana-"" (backward/against) + ""chron"" (time) = placed in the wrong time period."
Analgesic,morphology,"""an-"" (without) + ""alg"" (pain) = medicine that takes away pain."
Analogous,,
Anarchist,morphology,"""an-"" (without) + ""arch"" (ruler) = one who believes in no government."
Anathema,sound_spelling,A nasty asthma - something you vehemently despise and avoid.
Anecdote,,
Anesthesia,morphology,"""an-"" (without) + ""esthes"" (feeling) = without physical sensation."
Anguish,,
Animated,morphology,"""anima"" (soul/life) = full of life."
Annex,,
Annul,sound_spelling,A null - making a contract legally null and void.
Anomaly,morphology,"""an-"" (not) + ""homos"" (same) = not the same as the normal rule."
Anonymous,morphology,"""an-"" (without) + ""onym"" (name) = without a name."
Antagonism,,
Antecedent,morphology,"""ante-"" (before) + ""ced"" (go) = the thing that goes before."
Antediluvian,morphology,"""ante-"" (before) + ""diluvium"" (flood) = literally ""before the biblical flood,"" meaning ancient."
Anthology,etymology_story,Greek anthos (flower) + logia (collection): a bouquet metaphor for chosen writings.
Antipathy,morphology,"""anti-"" (against) + ""path"" (feeling) = a strong feeling against someone."
Antiquated,,
Antiseptic,morphology,"""anti-"" (against) + ""septic"" (infection) = against infection."
Antithesis,morphology,"""anti-"" (opposite) + ""thesis"" (idea) = the exact opposite."
Anxiety,,
Apathetic,morphology,"""a-"" (without) + ""path"" (feeling) = without emotion or interest."
Apocryphal,sound_spelling,A pocket full of lies - a story of doubtful authenticity.
Appalling,,
Appease,sound_spelling,To bring someone to a state of peace.
Appraise,sound_spelling,You offer praise when you determine something has high value.
Apprehend,sound_spelling,Up your hand - what cops say when they arrest you.
Approbation,sound_spelling,Approve a nation - official approval or praise.
Appropriate,sound_spelling,A property - to take something for your own use.
Aquatic,,
Arable,morphology,"""ar-"" (plow) + ""-able"" = plowable and farmable."
Arbiter,sound_spelling,An arbiter will bite down on the arguments and make the final decision.
Arbitrary,,
Arbitration,,
Arboreal,etymology_story,From Latin arbor (tree). Relating to trees.
Arcane,sound_spelling,Ark cane - Indiana Jones needed a cane to find the lost Ark because its location was highly mysterious and known only to a few.
Archaic,morphology,"""archaios"" (ancient) = very old."
Archetypal,morphology,"""arch-"" (original) + ""type"" (model) = the original model."
Ardor,sound_spelling,Harder - working harder because you have intense passion.
Arid,sound_spelling,A rid - you rid the desert of all its water.
Arrogate,sound_spelling,Arrow gate - taking over the castle gate with arrows to claim it without justification.
Artifact,,
Artisan,,
Ascertain,sound_spelling,As certain - to make yourself absolutely certain of the facts.
Ascetic,sound_spelling,Acidic - a monk drinking acidic water instead of wine to practice severe self-discipline.
Ascribe,morphology,"""ad-"" (to) + ""scribere"" (write) = to write someone's name to a quote, crediting them."
Aspersion,sound_spelling,Ass portion - talking about the worst portion of someone to damage their reputation.
Aspire,,
Assail,sound_spelling,A sail - pirate ships use a sail to suddenly attack you.
Assess,,
Assiduous,sound_spelling,Ass in dust - working so hard and persistently that your donkey is leaving a dust trail.
Assuage,sound_spelling,"A sausage - feeding a hungry, angry dog a sausage to calm and satisfy it."
Astute,sound_spelling,A student - a good student is sharp and clever.
Asylum,,
Atone,sound_spelling,"At one - making up for your sins so you are back ""at one"" with God."
Atrophy,sound_spelling,"A trophy - if you just stare at a trophy and stop training, your muscles will waste away."
Attain,,
Attribute,,
Atypical,morphology,"""a-"" (not) + ""typical"" = not typical."
Audacious,sound_spelling,"All day shush - if you shush the teacher all day, you are boldly disrespectful."
Audible,,
Augment,sound_spelling,Argument - you augment (add to) your essay to win the argument.
Auspicious,sound_spelling,Awesome space - entering an awesome space is a sign of future success.
Austere,sound_spelling,"Out steer - steering out of the fun lane into a strict, severe, undecorated lifestyle."
Avarice,sound_spelling,Have a rice - the greedy rich man wants to have every single grain of rice for himself.
Avenge,,
Aversion,morphology,"""a-"" (away) + ""vers"" (turn) = turning away in disgust."
Balk,sound_spelling,A dog barks when it balks (refuses to move forward).
Ballad,,
Banal,sound_spelling,"Ban all - we should ban all boring, unoriginal movies."
Bane,sound_spelling,Batman's enemy Bane is the cause of his great distress.
Bard,,
Bashful,sound_spelling,"If you are shy, you might nervously bash your toe into the ground."
Beguile,morphology,"""be-"" (completely) + ""guile"" (trickery) = to charm someone in a deceptive way."
Behemoth,,
Benevolent,morphology,"""bene-"" (good) + ""vol"" (wish) = wishing good upon others."
Benign,morphology,"""bene-"" (good) + ""gen"" (born) = gentle and harmless."
Bequeath,sound_spelling,Beneath - leaving your possessions to the generation beneath you.
Berate,sound_spelling,To give someone a B rate (a bad grade) and scold them angrily for it.
Bereft,sound_spelling,He left - feeling utterly deprived and sad because he left.
Beseech,sound_spelling,Bee speech - begging the bees not to sting you.
Bias,,
Bilk,sound_spelling,Milk - the scammer will milk you for all your money.
Blandish,sound_spelling,Bland dish - flattering the chef by saying the bland dish is actually delicious.
Blemish,,
Blight,sound_spelling,B-light - blocking out the light causes the crops to die.
Boisterous,sound_spelling,"Boys terrorize - loud, energetic boys terrorizing the playground."
Bombastic,sound_spelling,Bomb - inflating your speech with explosive words that lack actual substance.
Boon,sound_spelling,Boom! - an explosive stroke of good luck or benefit.
Bourgeois,,
Brazen,sound_spelling,Brass - acting as bold and hard as brass without any shame.
Brusque,sound_spelling,"Brush - brushing someone off with a quick, rude reply."
Buffet,sound_spelling,A buff guy hitting you repeatedly.
Burnish,sound_spelling,Burn - rubbing the metal so fast it burns and becomes highly polished.
Buttress,sound_spelling,Butt rest - a support structure that acts as a rest for the building.
Cacophony,morphology,"""kakos"" (bad) + ""phon"" (sound) = a harsh, bad mixture of sounds."
Cadence,,
Cajole,sound_spelling,Cage hole - coaxing the scared puppy out of the cage hole with a treat.
Calamity,sound_spelling,"Calm am I? T(ee) - No, I am not calm, it's a disaster!"
Calibrate,,
Callous,sound_spelling,Having physical calluses on your hands makes them hard; having a callous personality means your heart is hard and unfeeling.
Calumny,sound_spelling,Column - writing a gossip column full of slander to ruin someone's reputation.
Camaraderie,,
Candor,sound_spelling,Can do - being completely open and honest about what you can do.
Canny,sound_spelling,"Can he? - Yes, he can, because he's shrewd and clever."
Canvas,etymology_story,Canvas fabric was originally made from cannabis (hemp).
Capacious,sound_spelling,Capacity - having a massive capacity; very roomy.
Capitulate,morphology,"""caput"" (head) = to give up your head to the enemy, to surrender."
Capricious,sound_spelling,"Capri Sun - a toddler's mood is capricious; one second they are happy, the next they are crying because they dropped their Capri Sun."
Captivate,,
Carouse,sound_spelling,Car house - driving your car into the house because you were partying and drinking noisily.
Carp,sound_spelling,A carp fish just swims around complaining and nitpicking.
Catalog,,
Catalyze,,
Caucus,sound_spelling,Cactus - politicians gathering around a spiky cactus to hold a closed political meeting.
Caustic,sound_spelling,Cause sick - drinking a harsh chemical will cause you to be sick.
Cavort,sound_spelling,Cave fort - jumping and dancing around excitedly in your childhood cave fort.
Censure,sound_spelling,Censor - the government officially criticizes and censors the journalist.
Cerebral,morphology,"""cerebrum"" (brain) + ""-al"" = relating to the brain/intellect."
Chaos,,
Chastise,sound_spelling,Chase ties - the boss will chase you down and scold you for not wearing a tie.
Cherish,,
Chide,sound_spelling,Child - how you gently scold a child for making a mistake.
Choreography,,
Chronicle,,
Chronological,morphology,"""chron"" (time) + ""log"" (order) = arranged in order of time."
Circuitous,morphology,"""circum"" (around) + ""ire"" (go) = going in a circular, indirect route."
Circumlocution,morphology,"""circum"" (around) + ""loc"" (speak) = talking around the subject to avoid the point."
Circumscribed,morphology,"""circum"" (around) + ""scribere"" (write/draw) = drawing a line around something to restrict it."
Circumspect,morphology,"""circum"" (around) + ""spect"" (look) = looking around carefully before acting; cautious."
Circumvent,morphology,"""circum"" (around) + ""vent"" (go) = to find a way around an obstacle."
Clairvoyant,morphology,"""clair"" (clear) + ""voyant"" (seeing) = having clear vision of the future."
Clamor,sound_spelling,Claim more - the angry mob is loudly shouting to claim more rights.
Clandestine,sound_spelling,Clan destiny - the secret clan held a hidden meeting to discuss their destiny.
Cleave,sound_spelling,Meat cleaver - a heavy knife used to split things apart.
Clemency,sound_spelling,Lemon tea - giving the sore-throated prisoner a warm lemon tea as an act of mercy.
Clergy,,
Cloying,sound_spelling,Clawing - romantic words that are so overly sweet you want to claw your ears off.
Coagulate,sound_spelling,Colgate - toothpaste thickens and solidifies if left out.
Coalesce,morphology,Fuse into one: co- (together) + alescere (to grow)-parts grow together into a single mass.
Cobbler,,
Coerce,sound_spelling,Force - using force or threats to get someone to do something.
Cogent,sound_spelling,"Co-agent - your FBI co-agent presents a clear, logical, and convincing argument."
Cognizant,morphology,"""cogn"" (know) = having knowledge or awareness."
Coherent,morphology,"""co-"" (together) + ""haerere"" (stick) = sticking together logically."
Collateral,,
Colloquial,morphology,"""col-"" (together) + ""loqu"" (speak) = how people speak together in everyday conversation."
Collusion,morphology,"""col-"" (together) + ""ludere"" (play/deceive) = playing together in a secret, deceitful plot."
Colossus,,
Combustion,,
Commendation,sound_spelling,Recommend a nation - giving official praise.
Commensurate,morphology,"""com-"" (together) + ""mensur"" (measure) = corresponding in size or degree."
Commodious,sound_spelling,"Commode (toilet) - a massive, spacious bathroom."
Compelling,,
Compensate,,
Complacency,sound_spelling,"Come play, senor - relaxing and playing instead of staying alert to danger."
Complement,morphology,"""com-"" (together) + ""plere"" (fill) = to fill up together, completing the whole."
Compliant,,
Complicit,morphology,"""com-"" (together) + ""plic"" (fold) = folded together into an illegal act."
Compliment,etymology_story,Latin complementum (what completes); courtesy praise - remember: I like compliments.
Compound,,
Comprehensive,,
Compress,,
Compunction,morphology,"""com-"" (intensive) + ""punct"" (prick) = a sharp prick of guilt."
Concede,morphology,"""con-"" (completely) + ""cedere"" (yield) = to completely yield the argument."
Conciliatory,sound_spelling,Council - bringing the arguing sides to the council to make peace.
Concise,morphology,"""con-"" (completely) + ""caedere"" (cut) = cut down to just the essential words."
Concoct,sound_spelling,Cocktail - mixing ingredients together to invent a new cocktail.
Concomitant,sound_spelling,"Comet tent - if a comet hits your tent, disaster is a naturally accompanying result."
Concord,morphology,"""con-"" (together) + ""cord"" (heart) = hearts together in harmony."
Condolence,morphology,"""con-"" (with) + ""dolere"" (grieve) = to grieve with someone."
Condone,sound_spelling,"Con done - the convict is done with his sentence, so you overlook his past offense."
Conduit,sound_spelling,Can do it - the pipe is the channel that can do the job of moving the water.
Confection,,
Confidant,morphology,"""con-"" (with) + ""fid"" (trust) = the person you completely trust with your secrets."
Conflagration,sound_spelling,"Flag ration - a massive fire burned through the military base, so they had to ration their remaining flags."
Confluence,morphology,"""con-"" (together) + ""flu"" (flow) = rivers (or ideas) flowing together into one."
Conformist,morphology,"""con-"" (together) + ""form"" = taking the exact same form or shape as the rest of society."
Confound,sound_spelling,Dumbfounded - you are so thoroughly confused you are left dumbfounded.
Congeal,sound_spelling,"Jell-O - it cools down and thickens into a solid mass, just like Jell-O."
Congenial,morphology,"""con-"" (with) + ""gen"" (nature) = sharing the same nature; highly agreeable and friendly."
Congregation,morphology,"""con-"" (together) + ""greg"" (flock) = a flock of people gathering together."
Congruity,sound_spelling,"Geometry - just like congruent triangles, everything fits perfectly together in agreement."
Connive,sound_spelling,Knives - secretly plotting behind someone's back with knives.
Consecrate,morphology,"""con-"" (together) + ""sacr"" (sacred) = to officially declare something holy."
Consensus,morphology,"""con-"" (together) + ""sens"" (feel) = everyone in the room feeling the same way; a general agreement."
Consign,sound_spelling,Sign - you sign the paperwork to formally hand the goods over to someone else's care.
Consolation,sound_spelling,Console - giving a sad gamer a new console to comfort them after a major loss.
Consonant,morphology,"""con-"" (together) + ""son"" (sound) = sounding together in perfect harmony."
Constituent,,
Constrain,,
Construe,sound_spelling,Construct - you carefully construct the meaning of a complex sentence in your mind.
Consummate,morphology,"""con-"" (together) + ""summa"" (highest) = brought to the absolute highest, most complete level of skill."
Consumption,,
Contemporaneous,morphology,"""con-"" (together) + ""tempor"" (time) = two events happening at the exact same time."
Contentious,sound_spelling,Contender - a boxer who loves to fight and argue.
Contravene,morphology,"""contra-"" (against) + ""venire"" (come) = to come against a direct rule or law."
Contrite,etymology_story,From Latin contritus (ground to pieces). Your heart is crushed and ground to pieces by the guilt of what you've done.
Contusion,sound_spelling,Confusion - getting hit in the head so hard it leaves a massive bruise and causes confusion.
Conundrum,sound_spelling,"Nun drum - a nun playing a heavy metal drum kit is a confusing, puzzling situation to figure out."
Convene,morphology,"""con-"" (together) + ""venire"" (come) = to officially come together for a meeting."
Convention,,
Convivial,morphology,"""con-"" (with) + ""viv"" (life) = full of life, highly festive, and sociable."
Convoluted,morphology,"""con-"" (together) + ""volvere"" (roll) = rolled and twisted together so many times it becomes impossibly complicated."
Copious,sound_spelling,Copy us - the printer made so many copies you now have an abundant supply.
Cordial,morphology,"""cord"" (heart) = acting in a warm, polite, and heartfelt way."
Coronation,morphology,"""coron"" (crown) = the official ceremony of giving someone the crown."
Corpulence,morphology,"""corp"" (body) = having a massive, excessively fat body."
Corroborate,morphology,"""cor-"" (together) + ""robor"" (strength) = to add strength to a witness's story by providing matching evidence."
Corrosive,,
Cosmopolitan,morphology,"""cosm"" (world) + ""polit"" (citizen) = a citizen of the world; highly sophisticated and well-traveled."
Counteract,,
Coup,sound_spelling,Coop - the angry chickens violently overthrew the farmer to take control of the coop.
Covert,sound_spelling,Cover it - keeping the military operation completely covered up and secret.
Covet,sound_spelling,Cover it - you want your neighbor's new car so badly you throw a tarp over it to steal it.
Credulity,morphology,"""cred"" (believe) = an excessive readiness to believe things; extreme gullibility."
Crescendo,,
Criteria,,
Culmination,,
Culpable,morphology,"""culp"" (blame) = fully deserving of the blame."
Cultivate,,
Cumulative,,
Cunning,,
Cupidity,etymology_story,"Named after Cupid, the Roman god of desire. While Cupid is associated with love, the word evolved to mean an extreme, greedy desire for…"
Cursory,sound_spelling,Cursor - moving your computer cursor quickly over the text without actually stopping to read it.
Curt,sound_spelling,Cut - a spoken response so short and rude it feels like you've been cut off.
Curtail,sound_spelling,Cut tail - to cut the tail off a long meeting to shorten it.
Daunting,sound_spelling,Haunting - a ghost haunting your house is an incredibly intimidating and scary problem to deal with.
Dearth,sound_spelling,Dead earth - a dead patch of earth has a severe scarcity and lack of crops.
Debacle,sound_spelling,"Da buckle - the buckle on the CEO's belt breaks during a keynote speech, causing a complete public disaster."
Debase,morphology,"""de-"" (down) + ""base"" = to lower the value, status, or quality of something."
Debauch,sound_spelling,"Da botch - you completely botched your life by engaging in extreme, corrupt partying."
Debunk,sound_spelling,De-bunk - kicking your brother out of the top bunk because his claim that he called dibs is entirely false.
Decorous,sound_spelling,"Decorate - having excellent manners, perfectly presented like a beautifully decorated room."
Decry,sound_spelling,Cry - crying out publicly against a policy you hate.
Deface,morphology,"""de-"" (down/remove) + ""face"" = to ruin the surface or outward appearance of something (like graffiti)."
Defamatory,morphology,"""de-"" (remove) + ""fame"" = words specifically designed to destroy someone's fame or reputation."
Defer,,
Deferential,sound_spelling,Reference - treating someone with such deep respect that you always use them as a reference.
Defile,sound_spelling,"File - spilling black coffee all over a clean file, completely corrupting and dirtying it."
Deft,sound_spelling,Theft - a pickpocket must be incredibly quick and skillful to pull off a theft.
Defunct,morphology,"""de-"" (off) + ""funct"" (perform) = no longer functioning; dead or extinct."
Delegate,,
Deleterious,sound_spelling,Delete - a computer virus that is so harmful it deletes all your hard drive files.
Deliberate,,
Delineate,morphology,"""de-"" (out) + ""line"" = to trace the exact lines or outline of a plan in detail."
Demagogue,morphology,"""dem"" (people) + ""agog"" (leader) = a toxic political leader who manipulates the dark emotions of the people to gain power."
Demarcation,sound_spelling,The mark - setting the physical mark on the ground to define a clear boundary.
Demean,morphology,"""de-"" (down) + ""mean"" = to put someone down and intentionally make them feel inferior."
Demure,sound_spelling,"Murmur - a shy, modest girl who only speaks in a quiet murmur."
Denigrate,morphology,"""de-"" (completely) + ""nigr"" (black) = to heavily blacken someone's reputation with insults."
Denounce,morphology,"""de-"" (down) + ""nuntiare"" (speak/announce) = to publicly announce your rejection of someone."
Deplore,,
Depravity,sound_spelling,Deprive - a villain completely deprived of any moral goodness.
Deprecate,sound_spelling,"Appreciate (the opposite) - to heavily express disapproval of something, the exact opposite of appreciating it."
Derelict,sound_spelling,Dairy licked - the abandoned ice cream factory is so ruined that stray dogs have licked all the rusted dairy vats.
Deride,sound_spelling,The ride - ruthlessly mocking the kid who is too scared to go on the roller coaster ride.
Derivative,,
Desecrate,morphology,"""de-"" (reverse) + ""sacr"" (sacred) = to deliberately ruin something holy."
Desiccated,sound_spelling,"Desert - completely dried out and lifeless, exactly like a desert."
Desolate,morphology,"""de-"" (completely) + ""sol"" (alone) = completely left alone, empty, and barren."
Despondent,sound_spelling,Respond - someone so hopelessly depressed they won't even respond to your texts.
Despot,sound_spelling,"Death pot - a cruel, absolute dictator who throws his enemies into a boiling death pot."
Destitute,sound_spelling,"Deserted - someone who has been entirely deserted by wealth, leaving them in extreme poverty."
Deter,,
Devious,morphology,"""de-"" (away) + ""via"" (way) = wandering away from the straight, honest path to be sneaky."
Dialect,,
Diaphanous,morphology,"""dia-"" (through) + ""phan"" (show) = fabric so light and sheer that light shows right through it."
Didactic,sound_spelling,Dictator - a teacher who constantly lectures you on morals like a strict dictator.
Diffident,morphology,"""dis-"" (not) + ""fid"" (trust) = lacking trust in your own abilities; highly shy and unconfident."
Diffuse,morphology,"""dis-"" (apart) + ""fundere"" (pour) = poured apart, spreading out thinly over a wide area."
Dilatory,sound_spelling,"Delay story - the lawyer told a long, pointless delay story just to waste time in court."
Diligent,,
Diminutive,morphology,"""min"" (small) = extremely or unusually small."
